EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
5,2.30868373458831,0.012681298,5653,9726.619740962982,36.625,191290,0.37013727,0.0,38.13806,0.9027613550424576,0.37013727
8,2.303044620459685,0.003835055,5661,9739.613329648972,36.025,191555,0.1842517,0.0,38.138172,0.965875469148159,0.1842517
6,2.2901694470251246,0.0145087745,5667,9752.529839277267,36.125,191807,0.53199124,0.0,38.13945,0.929626353085041,0.53199124
8,2.463529755837526,0.004001117,5675,9765.61924290657,36.525,192063,0.21078475,0.0,38.140015,0.9216814190149307,0.21078475
7,2.466978405807865,0.013563887,5682,9778.802609205246,37.7,192337,0.40488046,0.0,38.138874,0.9320418983697891,0.40488046
7,2.542886283829298,0.0040191812,5689,9791.625319480896,37.725,192616,0.19530207,0.0,38.13757,0.870334729552269,0.19530207
7,2.6276925512515903,0.01429853,5696,9804.474161863327,36.625,192868,0.6694305,0.0,38.13658,0.8666328638792038,0.6694305
11,2.4882036906786786,0.0040992917,5707,9817.76174378395,33.675,193154,0.17250323,0.0,38.136528,0.8899269476532936,0.17250323
7,2.440818180484912,0.00382731,5714,9830.710074186325,33.65,193389,0.22112626,0.0,38.136765,0.9113240391016006,0.22112626
6,2.4170408548223583,0.014062203,5720,9843.894733428955,33.625,193615,0.38499624,0.0,38.137043,0.8446341007947922,0.38499624
7,2.4320150930926663,0.012043955,5727,9856.727282524109,34.175,193900,0.36742,0.0,38.135937,0.9003611207008362,0.36742
7,2.2787529530574853,0.003945902,5734,9869.926981687546,34.275,194185,0.18860614,0.0,38.139774,0.8918985798954964,0.18860614
7,2.402013111729224,0.014964875,5741,9883.023230552673,35.95,194443,0.43438086,0.0,38.139145,0.889178104698658,0.43438086
7,2.4887021503493587,0.014551683,5748,9895.918576955795,37.625,194705,0.44764823,0.0,38.138077,0.90242850035429,0.44764823
8,2.538284454331927,0.003882104,5756,9908.809392213821,37.8,194964,0.3188312,0.0,38.138596,0.8333600014448166,0.3188312
6,2.5528796029478094,0.0147105325,5762,9922.087439775467,38.4,195227,0.41959426,0.0,38.13689,0.8790403828024864,0.41959426
8,2.508522844601526,0.004812087,5770,9934.956400156021,36.525,195499,0.19178122,0.0,38.138535,0.8228904753923416,0.19178122
